,CustomerID,Genre,Age,Annual Income (k$),Spending Score (1-100),Group
0,1,Male,19,15,39,0
127,128,Male,40,71,95,0
128,129,Male,59,71,11,0
129,130,Male,38,71,75,0
130,131,Male,47,71,9,0
131,132,Male,39,71,75,0
132,133,Female,25,72,34,0
133,134,Female,31,72,71,0
134,135,Male,20,73,5,0
135,136,Female,29,73,88,0
136,137,Female,44,73,7,0
137,138,Male,32,73,73,0
138,139,Male,19,74,10,0
139,140,Female,35,74,72,0
140,141,Female,57,75,5,0
141,142,Male,32,75,93,0
142,143,Female,28,76,40,0
143,144,Female,32,76,87,0
144,145,Male,25,77,12,0
145,146,Male,28,77,97,0
146,147,Male,48,77,36,0
147,148,Female,32,77,74,0
126,127,Male,43,71,35,0
148,149,Female,34,78,22,0
125,126,Female,31,70,77,0
123,124,Male,39,69,91,0
102,103,Male,67,62,59,0
103,104,Male,26,62,55,0
104,105,Male,49,62,56,0
105,106,Female,21,62,42,0
106,107,Female,66,63,50,0
107,108,Male,54,63,46,0
108,109,Male,68,63,43,0
109,110,Male,66,63,48,0
110,111,Male,65,63,52,0
111,112,Female,19,63,54,0
112,113,Female,38,64,42,0
113,114,Male,19,64,46,0
114,115,Female,18,65,48,0
115,116,Female,19,65,50,0
116,117,Female,63,65,43,0
117,118,Female,49,65,59,0
118,119,Female,51,67,43,0
119,120,Female,50,67,57,0
120,121,Male,27,67,56,0
121,122,Female,38,67,40,0
122,123,Female,40,69,58,0
124,125,Female,23,70,29,0
101,102,Female,49,62,48,0
149,150,Male,34,78,90,0
151,152,Male,39,78,88,0
177,178,Male,27,88,69,0
178,179,Male,59,93,14,0
179,180,Male,35,93,90,0
180,181,Female,37,97,32,0
181,182,Female,32,97,86,0
182,183,Male,46,98,15,0
183,184,Female,29,98,88,0
184,185,Female,41,99,39,0
185,186,Male,30,99,97,0
186,187,Female,54,101,24,0
187,188,Male,28,101,68,0
188,189,Female,41,103,17,0
189,190,Female,36,103,85,0
190,191,Female,34,103,23,0
191,192,Female,32,103,69,0
192,193,Male,33,113,8,0
193,194,Female,38,113,91,0
194,195,Female,47,120,16,0
195,196,Female,35,120,79,0
196,197,Female,45,126,28,0
197,198,Male,32,126,74,0
176,177,Male,58,88,15,0
150,151,Male,43,78,17,0
175,176,Female,30,88,86,0
173,174,Male,36,87,92,0
152,153,Female,44,78,20,0
153,154,Female,38,78,76,0
154,155,Female,47,78,16,0
155,156,Female,27,78,89,0
156,157,Male,37,78,1,0
157,158,Female,30,78,78,0
158,159,Male,34,78,1,0
159,160,Female,30,78,73,0
160,161,Female,56,79,35,0
